phase_qubits,relative_solution_error,residual_norm,solution_state_fidelity
2,0.24999999999999972,0.31099638261561774,0.9999999999999998
3,0.241051567340864,0.24241359180086366,0.9985273352987392
4,3.265103397852861e-16,5.4672143489065705e-16,0.9999999999999998
5,3.265103397852861e-16,5.4672143489065705e-16,0.9999999999999998
